date,Bank Description,Spent,received,From/To,Transaction Posted
"30/09/2025","Rs Components","£38.42","","rs components","Added to:  Expense: Monitoring Hardware 30/09/2025 £38.42"
"30/09/2025","Www.gaelforcemar","£252.48","","Gael Force Marine","Added to:  Expense: Monitoring Hardware 30/09/2025 £252.48"
"30/09/2025","To Applied Genomics ltd","£5,790.00","","Applied Genomics Ltd","Added to:  Expense: Technical Consultancy 30/09/2025 £5,790.00"
"30/09/2025","Payment from Plant Ecology Beyond Land Pebl Ci","","£5,000.00","","Matched to:  Transfer: PLANT ECOLOGY BEYOND LAND (PEBL) CI (6388) 30/09/2025 £5,000.00"
"30/09/2025","Sqk Accountancy","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 30/09/2025 £36.00"
"30/09/2025","Gocardless","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 30/09/2025 £36.00"
"29/09/2025","Payment from Plant Ecology Beyond Land Pebl Ci","","£5,000.00","","Matched to:  Transfer: PLANT ECOLOGY BEYOND LAND (PEBL) CI (6388) 29/09/2025 £5,000.00"
"29/09/2025","Mol*the It Bay","£799.99","","The It Bay","Added to:  Expense: Office expenses, repairs & maintenance 29/09/2025 £799.99"
"29/09/2025","Amznmktplace","£6.99","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 29/09/2025 £6.99"
"29/09/2025","Ground Control Technol","£39.60","","Ground Control Technologies","Added to:  Expense: Monitoring Hardware 29/09/2025 £39.60"
"29/09/2025","Google *google One","£18.99","","google","Added to:  Expense: Subscriptions 29/09/2025 £18.99"
"24/09/2025","Company Free plan fee 10.00","£10.00","","revolut","Added to:  Expense: Bank charges 24/09/2025 £10.00"
"24/09/2025","Expenses app charges","£10.00","","revolut","Added to:  Expense: Bank charges 24/09/2025 £10.00"
"23/09/2025","Dkc Digi-Key Corp","£39.94","","digi-key","Added to:  Expense: Monitoring Hardware 23/09/2025 £39.94"
"23/09/2025","To Excel precision engineering ltd","£714.96","","Excel precision engineering","Added to:  Expense: Monitoring Hardware 23/09/2025 £714.96"
"19/09/2025","Post Office Counter","£8.69","","post office","Added to:  Expense: Printing, postage and stationery 19/09/2025 £8.69"
"18/09/2025","Figma","£21.60","","Figma","Added to:  Expense: Subscriptions 18/09/2025 £21.60"
"14/09/2025","Claude.ai Subscription","£18.00","","Anthropic","Added to:  Expense: Subscriptions 14/09/2025 £18.00"
"12/09/2025","3dprintuk Limited","£73.32","","3dprint uk","Added to:  Expense: Monitoring Hardware 12/09/2025 £73.32"
"12/09/2025","Amznmktplace","£39.13","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 12/09/2025 £39.13"
"12/09/2025","Amznmktplace","£49.66","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 12/09/2025 £49.66"
"12/09/2025","Dhl Express Uk Ltd","£95.81","","dhl international","Added to:  Expense: Courier and delivery charges 12/09/2025 £95.81"
"11/09/2025","Trainline","£168.36","","Trainline","Added to:  Expense: Travelling expenses 11/09/2025 £168.36"
"10/09/2025","Amznmktplace","£12.95","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 10/09/2025 £12.95"
"10/09/2025","robotshop.com","£24.73","","Robotshop","Added to:  Expense: Monitoring Hardware 10/09/2025 £24.73"
"10/09/2025","Royal Mail Group Ltd","£28.35","","Royal Mail Group Ltd","Added to:  Expense: Courier and delivery charges 10/09/2025 £28.35"
"09/09/2025","Anthropic","£5.03","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.03"
"09/09/2025","Anthropic","£4.72","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.72"
"09/09/2025","Anthropic","£5.11","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.11"
"09/09/2025","Anthropic","£4.69","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.69"
"09/09/2025","Anthropic","£4.85","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.85"
"09/09/2025","Anthropic","£5.63","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.63"
"09/09/2025","Anthropic","£6.10","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.10"
"09/09/2025","Anthropic","£5.11","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.11"
"09/09/2025","Anthropic","£5.15","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.15"
"09/09/2025","Anthropic","£4.78","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.78"
"09/09/2025","Anthropic","£8.15","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £8.15"
"09/09/2025","Anthropic","£4.98","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.98"
"09/09/2025","Anthropic","£4.47","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.47"
"09/09/2025","Anthropic","£4.82","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.82"
