date,Bank Description,Spent,received,From/To,Transaction Posted
"01/12/2025","Google Cloud Vw87hj","£0.04","","Google Cloud","Added to:  Expense: Subscriptions 01/12/2025 £0.04"
"01/12/2025","Paypal *sqk Account","£37.50","","sqk accountancy","Added to:  Expense: Accountancy Fees 01/12/2025 £37.50"
"30/11/2025","Dhl Express Uk Ltd","£183.85","","dhl international","Added to:  Expense: Courier and delivery charges 30/11/2025 £183.85"
"29/11/2025","Google *google One","£18.99","","Google One","Added to:  Expense: Subscriptions 29/11/2025 £18.99"
"28/11/2025","Gocardless","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 28/11/2025 £36.00"
"27/11/2025","Dkc Digi-Key Corp","£209.30","","digi-key","Added to:  Expense: Monitoring Hardware 27/11/2025 £209.30"
"27/11/2025","Royal Mail Group Limit","£14.25","","Royal Mail Group Ltd","Added to:  Expense: Courier and delivery charges 27/11/2025 £14.25"
"26/11/2025","Claude.ai Subscription","£18.00","","Claude.ai","Added to:  Expense: Subscriptions 26/11/2025 £18.00"
"25/11/2025","Dpd Online Uk","£31.03","","DPD","Added to:  Expense: Printing, postage and stationery 25/11/2025 £31.03"
"24/11/2025","Expenses app charges","£10.00","","revolut","Added to:  Expense: Bank charges 24/11/2025 £10.00"
"24/11/2025","Company Free plan fee 10.00","£10.00","","revolut","Added to:  Expense: Bank charges 24/11/2025 £10.00"
"22/11/2025","Esso Crumpsall","£106.37","","Esso","Added to:  Expense: Travelling expenses 22/11/2025 £106.37"
"21/11/2025","Rs Components","£214.79","","rs components","Added to:  Expense: Monitoring Hardware 21/11/2025 £214.79"
"19/11/2025","Supabase 0.11","£19.18","","Supabase","Added to:  Expense: Computer running costs 19/11/2025 £19.18"
"18/11/2025","Figma","£21.60","","Figma","Added to:  Expense: Subscriptions 18/11/2025 £21.60"
"17/11/2025","To Salah Attalhi","£40.00","","Salah Attalhi","Added to:  Expense: Repairs and maintenance 17/11/2025 £40.00"
"14/11/2025","3dprintuk Limited","£122.16","","3dprint uk","Added to:  Expense: Monitoring Hardware 14/11/2025 £122.16"
